City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2022-02-02 11:56:37,71.9667,102.5,-38.88,99,64,1.81
1,Bubaque,GW,2022-02-02 11:56:38,11.2833,-15.8333,78.31,76,11,10.25
2,Wajima,JP,2022-02-02 11:56:38,37.4,136.9,38.93,74,96,7.61
3,Abu Zabad,SD,2022-02-02 11:56:38,12.35,29.25,88.3,12,8,7.87
4,Richards Bay,ZA,2022-02-02 11:56:39,-28.783,32.0377,92.71,50,9,15.99
5,Novoagansk,RU,2022-02-02 11:56:39,61.9449,76.6625,-5.91,100,53,5.86
6,Broome,US,2022-02-02 11:56:39,42.2506,-75.833,30.51,78,40,3.0
7,Mataura,NZ,2022-02-02 11:56:39,-46.1927,168.8643,62.47,100,100,1.39
8,Hasaki,JP,2022-02-02 11:56:40,35.7333,140.8333,37.8,34,30,3.85
9,Yugorsk,RU,2022-02-02 11:56:40,61.3133,63.3319,21.83,96,100,5.82
10,Katsuura,JP,2022-02-02 11:56:40,35.1333,140.3,44.71,42,81,7.18
11,Hilo,US,2022-02-02 11:52:12,19.7297,-155.09,68.25,80,40,8.05
12,Albany,US,2022-02-02 11:56:41,42.6001,-73.9662,29.17,79,100,1.81
13,Tuktoyaktuk,CA,2022-02-02 11:56:41,69.4541,-133.0374,-28.28,100,99,5.26
14,Thompson,CA,2022-02-02 11:56:41,55.7435,-97.8558,-29.04,68,0,11.5
15,Jamestown,US,2022-02-02 11:51:44,42.097,-79.2353,35.71,52,40,1.99
16,Minatitlan,MX,2022-02-02 11:54:00,17.9833,-94.5167,67.48,95,30,2.26
17,Ushuaia,AR,2022-02-02 11:56:41,-54.8,-68.3,42.46,70,75,29.93
18,Quatre Cocos,MU,2022-02-02 11:56:42,-20.2078,57.7625,82.51,88,100,41.03
19,Sioux Lookout,CA,2022-02-02 11:53:35,50.1001,-91.917,-14.73,76,0,8.05
20,Rikitea,PF,2022-02-02 11:56:42,-23.1203,-134.9692,77.68,69,64,5.86
21,Marion,US,2022-02-02 11:54:15,39.7684,-86.1555,46.22,90,100,0.0
