City_ID,City,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Lat,Lng
78,Castro,66.72,97,100,8.03,overcast clouds,BR,-24.7911,-50.0119
79,Meulaboh,80.31,76,86,1.88,overcast clouds,ID,4.1363,96.1285
80,Barrow,-29.18,75,0,8.05,clear sky,US,71.2906,-156.7887
81,Pevek,-21.37,100,100,2.19,overcast clouds,RU,69.7008,170.3133
82,Tuatapere,49.82,91,100,5.17,overcast clouds,NZ,-46.1333,167.6833
83,Korocha,27.32,92,93,9.1,light snow,RU,50.8107,37.1953
84,Lovozero,-1.01,97,77,3.85,broken clouds,RU,68.005,35.0117
85,Minot,-14.58,70,0,18.41,clear sky,US,48.2325,-101.2963
86,Los Llanos De Aridane,66.13,74,0,4.0,clear sky,ES,28.6585,-17.9182
87,Tursunzoda,49.08,27,26,8.81,scattered clouds,TJ,38.5144,68.2333
88,Vanimo,78.37,84,55,5.39,broken clouds,PG,-2.6741,141.3028
89,Thunder Bay,1.29,77,100,4.61,snow,CA,48.4001,-89.3168
90,New Norfolk,60.93,95,11,0.6,few clouds,AU,-42.7826,147.0587
91,Malanje,75.25,59,100,5.55,overcast clouds,AO,-9.5402,16.341
92,Bambous Virieux,81.21,89,75,17.27,light rain,MU,-20.3428,57.7575
93,Ucluelet,45.09,94,100,1.01,overcast clouds,CA,48.9329,-125.5528
94,Nikolskoye,20.88,95,98,5.08,overcast clouds,RU,59.7035,30.7861
95,Leningradskiy,-17.21,89,12,5.41,few clouds,RU,69.3833,178.4167
96,Atuona,77.05,82,8,18.68,light rain,PF,-9.8,-139.0333
97,Hermanus,78.91,50,36,21.88,scattered clouds,ZA,-34.4187,19.2345
98,Boa Vista,80.58,65,20,18.41,few clouds,BR,2.8197,-60.6733
99,Hornepayne,-11.74,96,100,3.02,overcast clouds,CA,49.2138,-84.7705
100,Palmer,41.72,86,100,1.99,moderate rain,US,42.1584,-72.3287
101,General Jose Eduvigis Diaz,79.09,69,35,2.48,scattered clouds,PY,-27.1667,-58.4167
102,Ponazyrevo,20.52,91,100,6.4,overcast clouds,RU,58.3578,46.3142
103,Amta,73.02,80,88,13.15,overcast clouds,IN,22.58,88.0083
104,Vila Velha,82.35,82,20,11.01,few clouds,BR,-20.3297,-40.2925
105,Fiumicino,59.99,76,75,16.11,broken clouds,IT,41.7675,12.2291
106,Luderitz,74.55,62,24,13.13,few clouds,NA,-26.6481,15.1594
107,Korla,29.03,39,100,6.4,overcast clouds,CN,41.7597,86.1469
108,Eydhafushi,81.84,71,29,11.07,scattered clouds,MV,5.1033,73.0708
109,Maracana,78.21,93,100,3.13,overcast clouds,BR,-0.7667,-47.45
110,Atambua,74.89,88,90,2.13,overcast clouds,ID,-9.1061,124.8925
111,College,4.66,63,100,3.44,overcast clouds,US,64.8569,-147.8028
112,Yulara,75.04,31,26,8.05,scattered clouds,AU,-25.2406,130.9889
113,Xining,20.71,44,54,4.83,broken clouds,CN,36.6167,101.7667
114,Ribeira Grande,61.2,72,20,17.27,few clouds,PT,38.5167,-28.7
115,Makakilo City,69.28,77,0,5.75,clear sky,US,21.3469,-158.0858
116,Cidreira,75.61,77,100,4.16,overcast clouds,BR,-30.1811,-50.2056
117,Punta Arenas,46.51,49,75,11.5,broken clouds,CL,-53.15,-70.9167
118,Zheleznodorozhnyy,28.22,91,89,4.92,overcast clouds,RU,55.7503,38.0042
119,Burnie,60.94,75,4,5.01,clear sky,AU,-41.0667,145.9167
120,Savannah Bight,79.0,78,7,22.06,clear sky,HN,16.45,-85.85
121,Maarianhamina,35.46,100,100,24.16,overcast clouds,AX,60.0973,19.9348
122,San Patricio,30.61,63,21,17.98,few clouds,US,28.017,-97.5169
123,Coquimbo,65.28,79,5,2.21,clear sky,CL,-29.9533,-71.3436
124,Pontianak,76.98,94,75,4.61,moderate rain,ID,-0.0333,109.3333
125,East London,68.94,83,75,9.22,moderate rain,ZA,-33.0153,27.9116
126,Havoysund,14.88,77,79,24.43,broken clouds,NO,70.9963,24.6622
127,Khatanga,-33.07,100,97,3.6,overcast clouds,RU,71.9667,102.5
128,Bredasdorp,73.27,40,79,14.18,broken clouds,ZA,-34.5322,20.0403
129,Kuliyapitiya,82.42,53,31,5.99,scattered clouds,LK,7.4688,80.0401
130,Hithadhoo,82.35,73,73,12.15,broken clouds,MV,-0.6,73.0833
131,Eldorado,73.74,94,100,10.45,overcast clouds,BR,-23.7869,-54.2836
132,Thinadhoo,82.26,72,96,10.29,light rain,MV,0.5333,72.9333
133,Amazar,-0.29,79,100,5.61,overcast clouds,RU,53.858,120.875
134,Byron Bay,69.06,75,85,23.26,overcast clouds,AU,-28.65,153.6167
135,Butaritari,82.49,74,8,16.22,clear sky,KI,3.0707,172.7902
136,Ilulissat,8.62,72,75,4.61,broken clouds,GL,69.2167,-51.1
137,Ancud,56.73,91,91,3.47,overcast clouds,CL,-41.8697,-73.8203
138,Skibbereen,46.2,69,20,21.97,few clouds,IE,51.55,-9.2667
139,Constitucion,61.25,79,25,1.66,scattered clouds,CL,-35.3333,-72.4167
140,Banda Aceh,81.79,74,87,5.26,moderate rain,ID,5.5577,95.3222
141,Waw,98.19,11,97,8.72,overcast clouds,SS,7.7029,27.9953
142,Muhos,10.89,87,100,13.73,overcast clouds,FI,64.808,25.9931
